==WARNING== Note: Running with uncontrolled GPU caches. Profiling results may be inconsistent.
==WARNING== Note: Running with unmodified GPU clocks. If not controlled otherwise, profiling results may be inconsistent.
==PROF== Connected to process 1175402 (/home/beknur/Documents/tensorRT-mbnet/mbnet)
==PROF== Disconnected from process 1175402
"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"1175402","mbnet","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(497, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","44,512.00","46,944.00","45,203.39"
"1175402","mbnet","127.0.0.1","im2col_gpu_kernel(int, const float *, int, int, int, int, int, int, int, float *)","(1024, 1, 1)","(63, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","23,552.00","26,880.00","25,140.97"
"1175402","mbnet","127.0.0.1","ker2row_kernel(float (*)[25], float (*)[1][5][5])","(512, 1, 1)","(1, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","2,080.00","4,320.00","2,162.73"
