==WARNING== Note: Running with uncontrolled GPU caches. Profiling results may be inconsistent.
==WARNING== Note: Running with unmodified GPU clocks. If not controlled otherwise, profiling results may be inconsistent.
==PROF== Connected to process 631585 (/home/beknur/Documents/tensorRT-mbnet/mbnet)
==PROF== Disconnected from process 631585
"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"631585","mbnet","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(2870, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","277,472.00","301,632.00","280,521.75"
"631585","mbnet","127.0.0.1","im2col_gpu_kernel(int, const float *, int, int, int, int, int, int, int, float *)","(1024, 1, 1)","(1076, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","142,336.00","145,792.00","143,356.31"
"631585","mbnet","127.0.0.1","ker2row_kernel(float (*)[27], float (*)[3][3][3])","(512, 1, 1)","(2, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","1,792.00","24,896.00","1,962.73"
