==WARNING== Note: Running with uncontrolled GPU caches. Profiling results may be inconsistent.
==WARNING== Note: Running with unmodified GPU clocks. If not controlled otherwise, profiling results may be inconsistent.
==PROF== Connected to process 65764 (/home/beknur/Documents/tensorRT-mbnet/mbnet)
==PROF== Disconnected from process 65764
"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"65764","mbnet","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(23, 4, 3)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","93,856.00","118,144.00","94,867.34"
"65764","mbnet","127.0.0.1","im2col_gpu_kernel(int, const float *, int, int, int, int, int, int, int, float *)","(1024, 1, 1)","(183, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","25,600.00","28,736.00","26,684.92"
"65764","mbnet","127.0.0.1","ker2row_kernel(float (*)[576], float (*)[64][3][3])","(512, 1, 1)","(144, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","12,384.00","23,680.00","12,577.95"
