==WARNING== Note: Running with uncontrolled GPU caches. Profiling results may be inconsistent.
==WARNING== Note: Running with unmodified GPU clocks. If not controlled otherwise, profiling results may be inconsistent.
==PROF== Connected to process 937900 (/home/beknur/Documents/tensorRT-mbnet/mbnet)
==PROF== Disconnected from process 937900
"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"937900","mbnet","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(12, 8, 3)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","52,480.00","55,360.00","53,197.14"
"937900","mbnet","127.0.0.1","im2col_gpu_kernel(int, const float *, int, int, int, int, int, int, int, float *)","(1024, 1, 1)","(361, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","21,728.00","24,640.00","22,233.30"
"937900","mbnet","127.0.0.1","ker2row_kernel(float (*)[256], float (*)[256][1][1])","(512, 1, 1)","(128, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","9,408.00","21,152.00","9,916.35"
