==WARNING== Note: Running with uncontrolled GPU caches. Profiling results may be inconsistent.
==WARNING== Note: Running with unmodified GPU clocks. If not controlled otherwise, profiling results may be inconsistent.
==PROF== Connected to process 303686 (/home/beknur/Documents/tensorRT-mbnet/mbnet)
==PROF== Disconnected from process 303686
"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"303686","mbnet","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","(256, 1, 1)","(2, 12, 3)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","85,184.00","87,232.00","85,849.72"
"303686","mbnet","127.0.0.1","im2col_gpu_kernel(int, const float *, int, int, int, int, int, int, int, float *)","(1024, 1, 1)","(38, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","8,384.00","10,336.00","8,585.66"
"303686","mbnet","127.0.0.1","ker2row_kernel(float (*)[3456], float (*)[384][3][3])","(512, 1, 1)","(2592, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","327,360.00","332,128.00","329,401.77"
"303686","mbnet","127.0.0.1","void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)","(32, 16, 1)","(4, 24, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","3,552.00","4,160.00","3,681.51"
