==WARNING== Note: Running with uncontrolled GPU caches. Profiling results may be inconsistent.
==WARNING== Note: Running with unmodified GPU clocks. If not controlled otherwise, profiling results may be inconsistent.
==PROF== Connected to process 1187369 (/home/beknur/Documents/tensorRT-mbnet/mbnet)
==PROF== Disconnected from process 1187369
"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"1187369","mbnet","127.0.0.1","sm50_xmma_conv_fprop_fused_conv_act_fp32_NCHW_fp32_NCHW_KCRS_fp32_fp32_fp32_Accfloat_1_1_cC1_dC1_srcVec1_fltVec2_2_TP3_TQ7_C8_R3_S3_U1_V1_execute_kernel_trt","(256, 1, 1)","(4, 12, 28)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","821,056.00","830,400.00","826,074.67"
"1187369","mbnet","127.0.0.1","sm50_xmma_conv_fprop_fused_conv_act_fp32_NCHW_fp32_NCHW_KCRS_fp32_fp32_fp32_Accfloat_1_1_cC1_dC1_srcVec2_fltVec1_1_TP6_TQ8_C8_R3_S3_U1_V1_execute_kernel_trt","(256, 1, 1)","(8, 11, 14)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","759,584.00","762,848.00","760,816.00"
"1187369","mbnet","127.0.0.1","sm50_xmma_conv_fprop_fused_conv_act_fp32_NCHW_fp32_NCHW_KCRS_fp32_fp32_fp32_Accfloat_1_1_cC1_dC1_srcVec2_fltVec1_1_TP7_TQ8_C8_R3_S3_U1_V1_execute_kernel_trt","(256, 1, 1)","(8, 11, 12)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","750,496.00","755,328.00","752,138.67"
"1187369","mbnet","127.0.0.1","sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize128x16x8_stage3_warpsize4x1x1_g1_ffma_aligna4_alignc4_execute_kernel_trt","(128, 1, 1)","(16, 54, 1)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","1,210,432.00","1,212,864.00","1,211,824.00"
"1187369","mbnet","127.0.0.1","sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize128x64x8_stage2_warpsize1x4x1_g1_ffma_t1r3s3_aligna4_alignc4_beta0_packed_stride_execute_kernel_trt","(128, 1, 1)","(4, 54, 1)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","697,152.00","698,656.00","697,829.33"
"1187369","mbnet","127.0.0.1","sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize128x64x8_stage2_warpsize2x2x1_g1_ffma_t1r3s3_aligna4_alignc4_beta0_packed_stride_execute_kernel_trt","(128, 1, 1)","(4, 54, 1)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","636,704.00","639,456.00","637,413.33"
"1187369","mbnet","127.0.0.1","sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize128x64x8_stage2_warpsize4x1x1_g1_ffma_t1r3s3_aligna4_alignc4_beta0_packed_stride_execute_kernel_trt","(128, 1, 1)","(4, 54, 1)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","712,896.00","715,808.00","713,658.67"
"1187369","mbnet","127.0.0.1","sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize128x64x8_stage3_warpsize2x2x1_g1_ffma_aligna4_alignc4_execute_kernel_trt","(128, 1, 1)","(4, 54, 1)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","756,192.00","759,232.00","757,258.67"
"1187369","mbnet","127.0.0.1","sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize256x128x8_stage3_warpsize4x2x1_g1_ffma_aligna4_alignc4_execute_kernel_trt","(256, 1, 1)","(2, 27, 1)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","607,680.00","614,880.00","609,381.33"
"1187369","mbnet","127.0.0.1","sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize256x128x8_stage3_warpsize4x2x1_g1_ffma_t1r3s3_aligna4_alignc4_execute_kernel_trt","(256, 1, 1)","(2, 27, 1)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","611,840.00","617,920.00","613,248.00"
