==WARNING== Note: Running with uncontrolled GPU caches. Profiling results may be inconsistent.
==WARNING== Note: Running with unmodified GPU clocks. If not controlled otherwise, profiling results may be inconsistent.
==PROF== Connected to process 351541 (/home/beknur/Documents/tensorRT-mbnet/mbnet)
==PROF== Disconnected from process 351541
"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"351541","mbnet","127.0.0.1","sm50_xmma_conv_fprop_fused_conv_act_fp32_NCHW_fp32_NCHW_KCRS_fp32_fp32_fp32_Accfloat_1_1_cC1_dC1_srcVec1_fltVec1_1_TP3_TQ4_C8_R5_S5_U1_V1_execute_kernel_trt","(256, 1, 1)","(2, 31, 42)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","2,369,216.00","3,183,392.00","2,775,056.00"
"351541","mbnet","127.0.0.1","sm50_xmma_conv_fprop_fused_conv_act_fp32_NCHW_fp32_NCHW_KCRS_fp32_fp32_fp32_Accfloat_1_1_cC1_dC1_srcVec1_fltVec1_1_TP4_TQ4_C8_R5_S5_U1_V1_execute_kernel_trt","(256, 1, 1)","(2, 31, 31)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","2,044,512.00","2,054,400.00","2,047,861.33"
"351541","mbnet","127.0.0.1","sm50_xmma_conv_fprop_fused_conv_act_fp32_NCHW_fp32_NCHW_KCRS_fp32_fp32_fp32_Accfloat_1_1_cC1_dC1_srcVec1_fltVec1_1_TP4_TQ5_C4_R5_S5_U1_V1_execute_kernel_trt","(128, 1, 1)","(2, 25, 31)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","1,989,312.00","2,004,352.00","1,994,981.33"
"351541","mbnet","127.0.0.1","sm50_xmma_conv_fprop_fused_conv_act_fp32_NCHW_fp32_NCHW_KCRS_fp32_fp32_fp32_Accfloat_1_1_cC1_dC1_srcVec1_fltVec1_1_TP4_TQ6_C8_R5_S5_U1_V1_execute_kernel_trt","(256, 1, 1)","(2, 21, 31)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","2,205,664.00","2,229,408.00","2,217,578.67"
"351541","mbnet","127.0.0.1","sm50_xmma_conv_fprop_fused_conv_act_fp32_NCHW_fp32_NCHW_KCRS_fp32_fp32_fp32_Accfloat_1_1_cC1_dC1_srcVec1_fltVec2_2_TP3_TQ5_C8_R5_S5_U1_V1_execute_kernel_trt","(256, 1, 1)","(1, 25, 42)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","1,760,576.00","1,789,728.00","1,781,568.00"
"351541","mbnet","127.0.0.1","sm50_xmma_conv_fprop_fused_conv_act_fp32_NCHW_fp32_NCHW_KCRS_fp32_fp32_fp32_Accfloat_1_1_cC1_dC1_srcVec1_fltVec2_2_TP4_TQ3_C8_R5_S5_U1_V1_execute_kernel_trt","(256, 1, 1)","(1, 42, 31)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","1,939,552.00","2,503,488.00","2,262,336.00"
"351541","mbnet","127.0.0.1","sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize128x16x8_stage3_warpsize4x1x1_g1_ffma_aligna4_alignc4_execute_kernel_trt","(128, 1, 1)","(4, 121, 1)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","2,940,992.00","3,341,856.00","3,111,733.33"
"351541","mbnet","127.0.0.1","sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize128x64x8_stage3_warpsize2x2x1_g1_ffma_aligna4_alignc4_execute_kernel_trt","(128, 1, 1)","(1, 121, 1)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","1,919,840.00","1,933,440.00","1,930,304.00"
"351541","mbnet","127.0.0.1","sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize256x128x8_stage3_warpsize4x2x1_g1_ffma_aligna4_alignc4_execute_kernel_trt","(256, 1, 1)","(1, 61, 1)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","3,577,952.00","3,585,792.00","3,580,826.67"
"351541","mbnet","127.0.0.1","sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize32x32x8_stage3_warpsize1x2x1_g1_ffma_aligna4_alignc4_execute_kernel_trt","(64, 1, 1)","(2, 481, 1)","0","8.6","6","Command line profiler metrics","gpu__time_duration.sum","ns","3,083,136.00","3,108,096.00","3,091,344.00"
