==WARNING== Note: Running with uncontrolled GPU caches. Profiling results may be inconsistent.
==WARNING== Note: Running with unmodified GPU clocks. If not controlled otherwise, profiling results may be inconsistent.
==PROF== Connected to process 1895417 (/home/beknur/Documents/tensorRT-mbnet/mbnet)
==PROF== Disconnected from process 1895417
"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"1895417","mbnet","127.0.0.1","void cudnn::nchwToNhwcKernel<float, float, float, 0, 1, 2>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *)","(256, 1, 1)","(1, 8, 64)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","11,168.00","34,720.00","12,601.22"
"1895417","mbnet","127.0.0.1","void cudnn::nchwToNhwcKernel<float, float, float, 0, 1, 2>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *)","(256, 1, 1)","(512, 8, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","103,712.00","128,448.00","104,811.31"
"1895417","mbnet","127.0.0.1","void cudnn::nhwcToNchwKernel<float, float, float, 1, 0, 0>(cudnn::nhwc2nchw_params_t<T3>, const T1 *, T2 *)","(256, 1, 1)","(481, 2, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","22,848.00","25,760.00","23,772.81"
"1895417","mbnet","127.0.0.1","void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s1688fprop_optimized_tf32_64x64_32x5_nhwc_align4>(Params)","(128, 1, 1)","(241, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","1,344,768.00","1,347,840.00","1,345,751.76"
