==WARNING== Note: Running with uncontrolled GPU caches. Profiling results may be inconsistent.
==WARNING== Note: Running with unmodified GPU clocks. If not controlled otherwise, profiling results may be inconsistent.
==PROF== Connected to process 1287894 (/home/beknur/Documents/tensorRT-mbnet/mbnet)
==PROF== Disconnected from process 1287894
"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"1287894","mbnet","127.0.0.1","_5x_cudnn_ampere_scudnn_128x32_relu_interior_nn_v1","(64, 1, 1)","(35, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","27,200.00","30,048.00","27,337.51"
"1287894","mbnet","127.0.0.1","void cask__5x_cudnn::computeOffsetsKernel<0, 0>(cask__5x_cudnn::ComputeOffsetsParams)","(256, 1, 1)","(18, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","2,080.00","3,648.00","2,104.07"
