==WARNING== Note: Running with uncontrolled GPU caches. Profiling results may be inconsistent.
==WARNING== Note: Running with unmodified GPU clocks. If not controlled otherwise, profiling results may be inconsistent.
==PROF== Connected to process 1591357 (/home/beknur/Documents/tensorRT-mbnet/mbnet)
==PROF== Disconnected from process 1591357
"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"1591357","mbnet","127.0.0.1","_5x_cudnn_ampere_scudnn_128x64_relu_interior_nn_v1","(128, 1, 1)","(1, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","47,840.00","49,056.00","47,875.52"
"1591357","mbnet","127.0.0.1","void cask__5x_cudnn::computeOffsetsKernel<0, 0>(cask__5x_cudnn::ComputeOffsetsParams)","(256, 1, 1)","(1, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","2,048.00","3,808.00","2,074.13"
