,C,HW,K,RS
277,256,13,384,1
278,256,13,384,11
279,256,13,384,7
280,256,13,256,3
281,256,13,256,5
282,256,13,256,1
283,256,13,256,11
284,256,13,256,7
285,256,13,128,3
286,256,13,128,5
287,256,13,128,1
288,256,13,128,11
289,256,13,128,7
290,256,13,255,3
291,256,13,255,5
292,256,13,255,1
293,256,13,255,11
294,256,13,255,7
295,256,13,1024,3
296,256,13,1024,5
297,256,13,1024,1
298,256,13,1024,11
299,256,13,1024,7
300,256,13,96,3
301,256,13,96,5
302,256,13,96,1
303,256,13,96,11
304,256,13,96,7
305,256,13,6,3
306,256,13,6,5
307,256,13,6,1
308,256,13,6,11
309,256,13,6,7
310,256,13,28,3
311,256,13,28,5
312,256,13,28,1
313,256,13,28,11
314,256,13,28,7
315,256,13,192,3
316,256,13,192,5
317,256,13,192,1
318,256,13,192,11
319,256,13,192,7
320,256,13,9,3
321,256,13,9,5
322,256,13,9,1
323,256,13,9,11
324,256,13,9,7
325,256,13,12,3
326,256,13,12,5
327,256,13,12,1
328,256,13,12,11
329,256,13,12,7
330,256,13,56,3
331,256,13,56,5
332,256,13,56,1
333,256,13,56,11
334,256,13,56,7
335,256,13,3,3
336,256,13,3,5
337,256,13,3,1
338,256,13,3,11
339,256,13,3,7
340,256,14,512,3
341,256,14,512,5
342,256,14,512,1
343,256,14,512,11
344,256,14,512,7
345,256,14,16,3
346,256,14,16,5
347,256,14,16,1
348,256,14,16,11
349,256,14,16,7
350,256,14,32,3
351,256,14,32,5
352,256,14,32,1
353,256,14,32,11
354,256,14,32,7
355,256,14,64,3
356,256,14,64,5
357,256,14,64,1
358,256,14,64,11
359,256,14,64,7
360,256,14,384,3
361,256,14,384,5
362,256,14,384,1
363,256,14,384,11
364,256,14,384,7
365,256,14,256,3
366,256,14,256,5
367,256,14,256,1
368,256,14,256,11
369,256,14,256,7
370,256,14,128,3
371,256,14,128,5
372,256,14,128,1
373,256,14,128,11
374,256,14,128,7
375,256,14,255,3
376,256,14,255,5
377,256,14,255,1
378,256,14,255,11
379,256,14,255,7
380,256,14,1024,3
381,256,14,1024,5
382,256,14,1024,1
383,256,14,1024,11
384,256,14,1024,7
385,256,14,96,3
386,256,14,96,5
387,256,14,96,1
388,256,14,96,11
389,256,14,96,7
390,256,14,6,3
391,256,14,6,5
392,256,14,6,1
393,256,14,6,11
394,256,14,6,7
395,256,14,28,3
396,256,14,28,5
397,256,14,28,1
398,256,14,28,11
399,256,14,28,7
400,256,14,192,3
401,256,14,192,5
402,256,14,192,1
403,256,14,192,11
404,256,14,192,7
405,256,14,9,3
406,256,14,9,5
407,256,14,9,1
408,256,14,9,11
409,256,14,9,7
410,256,14,12,3
411,256,14,12,5
412,256,14,12,1
413,256,14,12,11
414,256,14,12,7
415,256,14,56,3
416,256,14,56,5
417,256,14,56,1
418,256,14,56,11
419,256,14,56,7
420,256,14,3,3
421,256,14,3,5
422,256,14,3,1
423,256,14,3,11
424,256,14,3,7
425,256,16,512,3
426,256,16,512,5
427,256,16,512,1
428,256,16,512,11
429,256,16,512,7
430,256,16,16,3
431,256,16,16,5
432,256,16,16,1
433,256,16,16,11
434,256,16,16,7
435,256,16,32,3
436,256,16,32,5
437,256,16,32,1
438,256,16,32,11
439,256,16,32,7
440,256,16,64,3
441,256,16,64,5
442,256,16,64,1
443,256,16,64,11
444,256,16,64,7
445,256,16,384,3
446,256,16,384,5
447,256,16,384,1
448,256,16,384,11
449,256,16,384,7
450,256,16,256,3
451,256,16,256,5
452,256,16,256,1
453,256,16,256,11
454,256,16,256,7
455,256,16,128,3
456,256,16,128,5
457,256,16,128,1
458,256,16,128,11
459,256,16,128,7
460,256,16,255,3
461,256,16,255,5
462,256,16,255,1
463,256,16,255,11
464,256,16,255,7
465,256,16,1024,3
466,256,16,1024,5
467,256,16,1024,1
468,256,16,1024,11
469,256,16,1024,7
470,256,16,96,3
471,256,16,96,5
472,256,16,96,1
473,256,16,96,11
474,256,16,96,7
475,256,16,6,3
476,256,16,6,5
477,256,16,6,1
478,256,16,6,11
479,256,16,6,7
480,256,16,28,3
481,256,16,28,5
482,256,16,28,1
483,256,16,28,11
484,256,16,28,7
485,256,16,192,3
486,256,16,192,5
487,256,16,192,1
488,256,16,192,11
489,256,16,192,7
490,256,16,9,3
491,256,16,9,5
492,256,16,9,1
493,256,16,9,11
494,256,16,9,7
495,256,16,12,3
496,256,16,12,5
497,256,16,12,1
498,256,16,12,11
499,256,16,12,7
500,256,16,56,3
501,256,16,56,5
502,256,16,56,1
503,256,16,56,11
504,256,16,56,7
505,256,16,3,3
506,256,16,3,5
507,256,16,3,1
508,256,16,3,11
509,256,16,3,7
510,256,26,512,3
511,256,26,512,5
512,256,26,512,1
513,256,26,512,11
514,256,26,512,7
515,256,26,16,3
516,256,26,16,5
517,256,26,16,1
