C,HW,K,RS,S,P
3,416,32,3,2,1
32,208,64,3,2,1
64,104,64,3,1,1
64,104,32,3,1,1
32,104,32,3,1,1
32,104,64,1,1,1
64,53.0,128,3,1,1
128,53,64,3,1,1
64,53,64,3,1,1
64,53,128,1,1,1
128,27.5,256,3,1,1
256,27,128,3,1,1
128,27,128,3,1,1
128,27,256,1,1,1
256,14.5,512,3,1,1
512,14,256,1,1,1
256,16,512,3,1,1
512,16,255,1,1,1
255,18,128,1,1,1
128,20,256,3,1,1
256,20,255,1,1,1
