==WARNING== Note: Running with uncontrolled GPU caches. Profiling results may be inconsistent.
==WARNING== Note: Running with unmodified GPU clocks. If not controlled otherwise, profiling results may be inconsistent.
==PROF== Connected to process 953206 (/home/beknur/Documents/tensorRT-mbnet/mbnet)
==PROF== Disconnected from process 953206
"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"953206","mbnet","127.0.0.1","ampere_sgemm_128x64_nn","(128, 1, 1)","(20, 8, 2)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","214,752.00","217,152.00","215,288.23"
"953206","mbnet","127.0.0.1","im2col_gpu_kernel(int, const float *, int, int, int, int, int, int, int, float *)","(1024, 1, 1)","(1250, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","69,600.00","73,504.00","70,886.73"
"953206","mbnet","127.0.0.1","ker2row_kernel(float (*)[512], float (*)[512][1][1])","(512, 1, 1)","(512, 1, 1)","0","8.6","10000","Command line profiler metrics","gpu__time_duration.sum","ns","35,520.00","38,560.00","36,301.10"
